position_x,position_y,condition,result,target_x,target_y,target_theta
0.5,-0.15,0,1,0.26,3.05,90
0.26,3.05,0,1,-0.49,2.55,90
-0.49,2.55,0,1,-0.2,3.5,90
0,0,,,,,
