position_x,position_y,condition,result,target_x,target_y,target_theta
1.835,0.165,0,1,1.81,0.65,90
1.81,0.65,0,1,0.31,0.65,90
0.31,0.65,0,1,0.31,1.27,90
0.31,1.27,0,2,,,
0.31,1.27,20,1,0.205,1.44,90
0.205,1.44,0,3,,,
0.205,1.44,30,1,0.4,0.8,260
0.4,0.8,0,1,1,0.55,260
1,0.55,0,1,1,0.45,260
1,0.45,0,4,,,
1,0.45,40,1,1,0.52,90
1,0.52,0,1,1,0.655,90
1,0.655,0,5,,,
1,0.655,50,1,1.825,0.63,90
1.825,0.63,0,1,1.825,1.48,90
1.825,1.48,0,6,,,
1.825,1.48,60,8,1.825,0.165,90
